user_id,day_type,work_hours,screen_time_hours,meetings_count,breaks_taken,after_hours_work,sleep_hours,task_completion_rate,burnout_score,burnout_risk,productivity_index,work_intensity
16,Weekday,10.13,13.13,2,5,Yes,6.32,92.0,15.64,Low,9.08193484698914,15.13
16,Weekend,4.93,8.07,0,2,No,7.22,89.2,18.13,Low,18.093306288032455,8.07
16,Weekend,3.0,6.33,1,5,Yes,6.61,91.8,17.84,Low,30.599999999999998,7.33
16,Weekend,3.37,7.25,2,2,Yes,6.98,86.6,22.18,Low,25.697329376854597,9.25
16,Weekday,8.48,11.67,3,2,Yes,5.82,66.6,37.16,Low,7.853773584905659,14.67
16,Weekday,6.97,9.21,2,5,Yes,6.53,75.6,37.67,Low,10.846484935437589,11.21
16,Weekday,7.93,10.56,2,5,No,7.51,83.0,38.16,Low,10.46658259773014,12.56
16,Weekday,10.09,11.81,1,5,Yes,7.98,73.0,47.61,Low,7.234886025768088,12.81
16,Weekend,4.74,8.71,1,2,Yes,6.4,65.0,54.03,Low,13.71308016877637,9.71
16,Weekday,7.87,10.8,2,3,No,4.5,72.2,56.37,Low,9.174078780177892,12.8
17,Weekend,5.41,8.0,1,2,No,6.53,94.5,8.44,Low,17.46765249537893,9.0
17,Weekday,8.18,11.19,3,5,Yes,6.21,88.3,17.34,Low,10.794621026894866,14.19
17,Weekday,8.83,12.0,2,1,No,6.85,84.0,25.41,Low,9.513023782559456,14.0
17,Weekend,3.7,6.45,1,4,No,7.26,85.5,24.95,Low,23.108108108108105,7.45
17,Weekday,7.14,10.24,1,2,No,5.62,81.3,31.22,Low,11.38655462184874,11.24
17,Weekday,8.18,10.71,8,2,Yes,6.69,73.3,43.64,Low,8.960880195599023,18.71
17,Weekend,6.35,7.94,1,1,Yes,5.42,61.4,53.43,Low,9.669291338582678,8.940000000000001
17,Weekday,8.93,10.99,2,1,No,5.92,61.4,59.92,Low,6.875699888017917,12.99
17,Weekend,4.64,6.18,1,1,Yes,6.73,54.6,65.58,Low,11.767241379310345,7.18
17,Weekend,5.82,7.88,0,3,Yes,7.19,63.1,65.06,Low,10.84192439862543,7.88
18,Weekday,9.89,12.69,1,3,Yes,5.89,79.4,23.33,Low,8.028311425682508,13.69
18,Weekday,6.76,10.07,3,5,Yes,5.84,84.3,27.56,Low,12.470414201183432,13.07
18,Weekday,7.71,10.43,4,3,Yes,8.58,71.8,39.33,Low,9.312581063553825,14.43
18,Weekend,3.95,7.19,1,2,No,5.45,73.5,40.79,Low,18.60759493670886,8.190000000000001
18,Weekday,6.44,10.38,2,5,Yes,6.81,67.3,48.35,Low,10.45031055900621,12.38
18,Weekday,9.36,11.61,4,5,Yes,8.91,60.8,58.38,Low,6.495726495726496,15.61
18,Weekend,3.08,5.72,0,3,No,4.5,60.5,59.21,Low,19.642857142857142,5.72
18,Weekend,3.32,6.19,0,5,No,6.53,57.6,59.71,Low,17.34939759036145,6.19
18,Weekday,8.69,11.15,2,2,Yes,8.44,49.5,70.01,Medium,5.69620253164557,13.15
18,Weekend,3.35,5.57,3,3,Yes,8.01,63.2,66.46,Low,18.865671641791046,8.57
19,Weekday,7.88,11.39,4,1,Yes,7.64,82.0,26.85,Low,10.406091370558375,15.39
19,Weekday,8.65,10.52,5,3,No,6.39,72.3,40.81,Low,8.358381502890174,15.52
19,Weekend,4.05,6.41,1,4,Yes,5.89,64.0,47.27,Low,15.80246913580247,7.41
19,Weekday,10.07,11.93,1,4,Yes,6.76,73.7,53.77,Low,7.318768619662364,12.93
19,Weekday,9.07,12.06,3,1,No,7.46,54.6,71.39,Medium,6.019845644983462,15.06
19,Weekday,8.74,12.36,0,5,Yes,8.18,52.0,79.75,Medium,5.949656750572082,12.36
19,Weekend,4.87,6.47,1,2,No,8.72,52.3,80.81,Medium,10.739219712525667,7.47
19,Weekday,8.51,10.34,3,4,No,6.29,40.0,93.86,Medium,4.700352526439483,13.34
19,Weekend,4.19,5.88,0,4,Yes,8.05,40.0,94.83,Medium,9.54653937947494,5.88
19,Weekend,3.0,6.27,1,2,No,6.69,44.5,93.79,Medium,14.833333333333334,7.27
20,Weekend,4.02,6.25,1,3,No,5.99,88.1,14.65,Low,21.91542288557214,7.25
20,Weekend,3.0,6.94,1,1,Yes,8.04,95.6,13.5,Low,31.866666666666664,7.94
20,Weekend,4.89,7.58,3,2,No,5.01,86.5,21.44,Low,17.68916155419223,10.58
20,Weekday,7.92,11.19,2,1,Yes,4.99,88.3,29.53,Low,11.148989898989898,13.19
20,Weekend,4.8,7.9,2,1,Yes,6.91,69.8,41.44,Low,14.541666666666666,9.9
20,Weekend,4.4,7.86,0,1,No,5.38,69.0,44.41,Low,15.68181818181818,7.86
20,Weekend,5.1,7.15,2,5,No,6.64,66.9,47.11,Low,13.11764705882353,9.15
20,Weekend,4.32,5.88,1,4,No,6.33,71.0,46.36,Low,16.435185185185183,6.88
20,Weekday,6.87,9.97,1,4,No,6.95,66.2,51.99,Low,9.636098981077147,10.97
20,Weekday,9.33,12.35,4,4,No,7.08,69.9,58.24,Low,7.491961414790997,16.35
21,Weekend,5.97,8.73,0,3,No,4.96,80.2,19.01,Low,13.433835845896148,8.73
21,Weekend,4.63,6.8,0,1,Yes,6.72,79.2,22.18,Low,17.10583153347732,6.8
21,Weekend,6.83,8.38,1,1,Yes,6.15,84.0,25.61,Low,12.298682284040995,9.38
21,Weekend,6.85,8.53,2,4,No,6.55,70.1,34.73,Low,10.233576642335766,10.53
21,Weekend,5.35,7.41,0,1,Yes,7.77,74.3,35.97,Low,13.88785046728972,7.41
21,Weekend,4.51,7.58,2,1,No,8.39,71.1,39.1,Low,15.764966740576495,9.58
21,Weekend,4.56,7.3,1,1,Yes,6.81,70.1,42.83,Low,15.37280701754386,8.3
21,Weekend,3.83,7.12,1,2,Yes,7.78,73.4,43.55,Low,19.1644908616188,8.120000000000001
21,Weekday,9.91,13.76,3,4,Yes,7.55,65.9,54.85,Low,6.649848637739657,16.759999999999998
21,Weekend,6.58,10.51,2,2,No,6.02,59.5,62.24,Low,9.042553191489361,12.51
22,Weekday,9.82,12.08,1,2,Yes,8.05,74.0,26.38,Low,7.535641547861507,13.08
22,Weekday,9.68,13.48,5,3,Yes,7.01,76.2,33.16,Low,7.871900826446281,18.48
22,Weekend,5.81,7.99,2,3,No,6.86,78.4,34.59,Low,13.49397590361446,9.99
22,Weekday,7.91,11.02,4,1,No,5.59,75.8,41.41,Low,9.582806573957017,15.02
22,Weekend,4.9,8.73,0,5,No,7.82,69.5,44.38,Low,14.183673469387754,8.73
22,Weekend,6.91,10.31,1,4,No,7.24,65.2,48.79,Low,9.4356005788712,11.31
22,Weekday,8.22,9.97,6,3,No,6.25,58.2,57.26,Low,7.08029197080292,15.97
22,Weekday,5.37,8.7,2,5,No,7.89,68.3,54.6,Low,12.718808193668528,10.7
22,Weekend,4.71,7.96,1,3,No,6.74,54.2,61.68,Low,11.507430997876858,8.96
22,Weekday,6.99,9.09,2,4,No,5.16,55.4,64.74,Low,7.925608011444921,11.09
23,Weekday,11.64,15.41,2,3,Yes,8.32,84.5,23.31,Low,7.259450171821306,17.41
23,Weekend,3.27,5.89,0,1,No,5.68,87.1,23.08,Low,26.636085626911314,5.89
23,Weekend,4.32,6.48,0,5,No,7.02,86.3,23.29,Low,19.97685185185185,6.48
23,Weekday,7.65,9.45,1,3,No,9.16,86.6,25.85,Low,11.320261437908496,10.45
23,Weekend,5.81,7.87,3,5,Yes,7.9,76.4,33.04,Low,13.149741824440621,10.870000000000001
23,Weekday,9.43,13.38,4,1,No,6.42,70.4,43.19,Low,7.465535524920467,17.380000000000003
23,Weekday,7.85,9.78,2,5,No,8.25,70.2,46.36,Low,8.94267515923567,11.78
23,Weekday,7.84,11.22,1,5,No,8.12,67.2,50.73,Low,8.571428571428571,12.22
23,Weekday,7.57,9.55,6,2,No,8.87,56.7,60.06,Low,7.4900924702774105,15.55
23,Weekend,3.75,6.23,1,1,Yes,7.53,59.3,60.96,Low,15.813333333333333,7.23
24,Weekday,7.37,10.76,5,5,No,7.43,78.5,26.46,Low,10.651289009497965,15.76
24,Weekend,3.07,6.94,0,5,No,7.46,83.8,22.97,Low,27.29641693811075,6.94
24,Weekday,8.26,11.99,3,4,Yes,5.39,74.6,37.69,Low,9.031476997578691,14.99
24,Weekday,6.54,9.15,1,4,No,7.95,73.3,41.7,Low,11.20795107033639,10.15
24,Weekend,3.66,7.03,1,4,No,6.94,69.9,43.7,Low,19.098360655737707,8.030000000000001
24,Weekday,9.72,12.32,2,4,Yes,8.12,71.0,53.25,Low,7.304526748971193,14.32
24,Weekend,5.51,7.23,3,5,No,6.09,75.9,55.11,Low,13.774954627949185,10.23
24,Weekday,9.06,11.33,2,2,No,4.81,56.2,73.31,Medium,6.2030905077262695,13.33
24,Weekend,3.4,6.44,2,5,Yes,6.62,45.8,79.81,Medium,13.470588235294118,8.440000000000001
24,Weekday,9.53,11.62,3,5,No,7.24,43.2,89.43,Medium,4.53305351521511,14.62
25,Weekday,9.02,11.16,5,4,No,5.23,73.9,27.89,Low,8.19290465631929,16.16
25,Weekday,7.46,9.58,2,3,No,8.07,81.9,30.24,Low,10.978552278820375,11.58
25,Weekend,3.18,6.96,3,1,Yes,5.81,76.0,37.99,Low,23.89937106918239,9.96
25,Weekday,8.38,11.19,3,4,No,7.21,73.8,46.72,Low,8.806682577565631,14.19
25,Weekday,9.51,12.64,5,3,No,5.02,61.6,64.37,Low,6.47739221871714,17.64
25,Weekday,8.24,11.08,2,5,No,6.82,55.9,73.49,Medium,6.783980582524271,13.08
25,Weekend,4.44,7.8,0,3,No,6.49,56.0,75.22,Medium,12.612612612612612,7.8
25,Weekday,8.65,11.2,3,5,No,7.92,50.8,84.49,Medium,5.872832369942196,14.2
25,Weekend,4.92,8.39,1,2,No,7.5,44.7,89.82,Medium,9.085365853658537,9.39
25,Weekday,8.63,12.01,2,3,Yes,7.06,40.0,101.79,Medium,4.634994206257241,14.01
26,Weekend,5.83,8.2,1,4,No,6.17,88.5,15.86,Low,15.180102915951972,9.2
26,Weekend,5.13,8.29,1,2,Yes,7.87,95.1,17.23,Low,18.53801169590643,9.29
26,Weekday,7.69,11.26,2,2,No,8.11,77.7,30.19,Low,10.104031209362809,13.26
26,Weekend,5.07,6.79,2,2,Yes,7.0,88.0,30.5,Low,17.357001972386588,8.79
26,Weekend,6.49,10.12,1,2,No,8.91,70.3,41.17,Low,10.832049306625578,11.12
26,Weekend,6.55,8.34,1,1,No,7.86,71.8,44.52,Low,10.961832061068701,9.34
26,Weekend,4.33,5.87,1,5,No,7.5,82.4,40.2,Low,19.03002309468822,6.87
26,Weekend,4.16,7.26,0,2,No,8.3,77.6,42.55,Low,18.653846153846153,7.26
26,Weekend,3.0,5.75,1,3,No,7.87,67.9,45.85,Low,22.633333333333336,6.75
26,Weekday,8.12,12.11,4,5,Yes,6.93,68.3,54.61,Low,8.411330049261084,16.11
27,Weekend,3.87,7.47,0,3,Yes,8.64,92.3,12.88,Low,23.850129198966407,7.47
27,Weekday,9.38,12.82,3,4,No,7.15,89.8,22.11,Low,9.573560767590617,15.82
27,Weekend,3.0,6.94,0,2,Yes,6.98,82.8,26.63,Low,27.599999999999998,6.94
27,Weekday,8.17,9.72,4,2,Yes,7.87,64.0,42.74,Low,7.833537331701346,13.72
27,Weekday,8.49,11.91,5,1,No,6.17,58.9,54.81,Low,6.937573616018845,16.91
27,Weekend,3.0,5.4,2,4,Yes,5.89,62.6,55.47,Low,20.866666666666667,7.4
27,Weekend,4.54,8.37,0,2,No,6.54,59.5,58.91,Low,13.105726872246695,8.37
27,Weekday,8.86,10.65,2,1,Yes,7.04,67.1,65.03,Low,7.573363431151241,12.65
27,Weekday,7.74,10.91,3,2,No,6.05,56.2,77.02,Medium,7.260981912144703,13.91
27,Weekend,3.18,4.76,1,3,Yes,7.62,44.2,82.64,Medium,13.89937106918239,5.76
28,Weekday,7.26,9.03,2,5,Yes,7.49,88.9,18.35,Low,12.245179063360883,11.03
28,Weekend,4.52,7.89,0,2,Yes,5.09,76.9,29.02,Low,17.01327433628319,7.89
28,Weekday,8.6,12.6,2,2,No,7.93,76.8,38.9,Low,8.930232558139535,14.6
28,Weekday,8.16,11.09,2,1,No,7.32,64.4,53.47,Low,7.892156862745098,13.09
28,Weekend,3.35,5.67,0,2,Yes,7.0,72.4,52.26,Low,21.611940298507463,5.67
28,Weekday,8.48,11.8,3,2,Yes,7.78,50.5,73.28,Medium,5.955188679245283,14.8
28,Weekday,9.07,10.84,3,3,No,5.7,52.3,83.97,Medium,5.766262403528114,13.84
28,Weekday,7.76,11.02,3,5,No,7.22,40.0,96.82,Medium,5.154639175257732,14.02
28,Weekend,4.16,6.93,1,4,Yes,8.09,40.0,99.22,Medium,9.615384615384615,7.93
28,Weekend,3.45,5.01,0,2,No,7.35,40.0,98.64,Medium,11.594202898550725,5.01
29,Weekday,9.65,11.49,1,5,Yes,7.29,83.9,24.39,Low,8.694300518134716,12.49
29,Weekday,8.99,10.66,4,1,No,8.53,76.6,36.45,Low,8.520578420467185,14.66
